Date,Yes_Mistake,No_NotMistake,,,,
2015-06-05 12:00 AM,42,54,,,,
2014-02-07 12:00 AM,49,48,,,,
2013-03-07 12:00 AM,44,51,,,,
2011-05-05 12:00 AM,39,58,,,,
2011-03-25 12:00 AM,42,53,,,,
2010-11-20 12:00 AM,39,58,,,,
2010-07-27 12:00 AM,43,52,,,,
2010-07-08 12:00 AM,38,58,,,,
2009-11-20 12:00 AM,36,60,,,,
2009-08-31 12:00 AM,37,61,,,,
2009-07-10 12:00 AM,36,61,,,,
2009-01-30 12:00 AM,30,66,,,,
2008-08-21 12:00 AM,34,63,,,,
2008-07-25 12:00 AM,28,68,,,,
2007-08-03 12:00 AM,25,70,,,,
2004-07-19 12:00 AM,25,72,,,,
2002-01-07 12:00 AM,6,93,,,,
2001-11-08 12:00 AM,9,89,,,,
,,,,,,
,,,,,,
,,,,,,